Date,RG01,RG02,RG03,RG04,RG05,RG07,RG08,RG09,RG10_30,RG11,RG12,RG14,RG15,RG16,RG17,RG18,RG20_25
01/31/2004,4.23,5.88,4.79,5.88,4.81,5.43,5.93,5.93,5.04,6.67,6.77,5.22,4.96,4.96,5.86,5.31,5.83
02/29/2004,2.19,2.75,2.41,2.75,2.65,2.08,2.56,2.56,2.59,2.45,2.45,2.23,2.76,2.79,3.17,2.53,2.49
03/31/2004,1.72,1.95,1.85,1.95,1.68,1.72,1.7,1.7,2.21,1.93,1.93,2.13,1.97,1.97,2.1,2.5,2.03
04/30/2004,0.55,0.76,0.64,0.76,0.38,0.55,0.55,0.55,0.38,0.7,0.7,0.53,0.38,0.38,0.38,0.38,0.47
05/31/2004,2.54,2.21,2.46,2.21,1.94,2.31,2.59,2.59,1.46,2.86,2.86,2.1,2.58,1.87,1.74,2.84,2.68
06/30/2004,0.36,0.73,0.72,0.73,0.57,0.36,0.86,0.86,0.57,0.63,0.63,0.57,0.54,0.57,0.57,0.57,0.63
07/31/2004,0.24,0.32,0.3,0.32,0.3,0.24,0.35,0.35,0.3,0.35,0.35,0.3,0.3,0.3,0.3,0.3,0.3
08/31/2004,2.3,2.42,3.2,2.2,2.89,3.03,3.03,3.03,2.93,3.03,3.03,2.89,2.75,2.93,2.93,2.9,3.2
09/30/2004,1.37,2.11,1.91,1.83,2.24,1.93,1.93,1.93,2.24,1.57,1.57,2.24,2.24,2.24,2.24,2.24,1.35
10/31/2004,2.12,2.62,2.07,2.36,2,2.53,2.78,2.81,2.05,1.85,2.59,1.44,1.77,2.12,2.38,2.08,1.7
11/30/2004,2.16,3.15,2.77,2.78,1.05,2.49,2.56,3.15,2.73,2.28,2.56,2.04,2.48,2.58,2.76,3.01,2.77
12/31/2004,4.5,4.83,4.79,4.76,4.2,5.02,4.77,5.15,4.16,4.49,4.77,4.2,4.79,4.75,4.79,4.83,4.72
01/31/2005,2.33,2.95,1.47,2.8,3.82,2.86,3.33,3.39,4.24,3.03,3.3,3.46,3.46,3.66,3.91,2.11,3.11
02/28/2005,0.8,1.03,0.92,0.95,1.1,0.93,0.88,0.97,1.17,0.77,0.87,0.51,0.51,1.12,1.33,1.08,0.9
03/31/2005,2.59,5.74,2.94,2.39,3.32,2.79,2.84,3.14,3.86,2.62,2.48,3.36,3.36,3,3.51,3.03,2.81
04/30/2005,2.68,2.42,2.73,2.56,4.03,2.61,3.03,3.06,3.72,2.34,3.24,0.21,0.21,3.72,4.14,3.77,2.76
05/31/2005,2.23,2.69,2.74,2.45,3.4,2.44,2.88,2.69,3.06,2.56,1.98,3.36,3.36,2.47,3.37,3.09,2.98
06/30/2005,2,2.31,1.6,1.79,2.01,2,1.45,1.85,3.57,1.31,1.44,1.4,1.4,2.53,2.18,2.4,1.49
07/31/2005,0.66,0.89,0.75,0.7,0.75,0.56,0.32,0.84,1,0.6,0.53,0.42,0.42,0.81,1.04,0.95,0.94
08/31/2005,0.27,0.29,0.06,0.27,0.57,0.18,0.53,0.58,0.44,0.13,0.56,0.07,0.07,0.39,0.72,0.49,0.18
09/30/2005,0.99,0.92,1.41,1.21,0.33,1.06,0.84,0.82,1.02,0.96,1.22,0.71,0.71,0.85,0.92,1.25,1.55
10/31/2005,2.44,2.41,2.77,2.42,2.15,2.38,2.37,2.34,2.78,2.02,2.72,1.39,1.39,0.66,2.72,2.41,2.05
11/30/2005,4.38,4.86,5.01,4.29,4.13,4.45,4.62,4.57,6.13,4.45,5.6,3.18,3.18,3.9,5.66,5.15,4.81
12/31/2005,6.55,7.1,6.44,6.31,6.02,6.94,7.34,7.4,7.06,6.16,8.09,6.36,6.36,6.51,7.6,6.55,6.56
01/31/2006,9.02,9.71,9.52,8.84,9.3,9.07,9.38,9.37,12.61,8.67,10.11,4.65,4.65,10.48,11.66,10.66,9.51
02/28/2006,2.95,3.32,2.81,3.21,2.86,2.82,2.63,2.69,3.3,2.54,2.66,2.18,2.18,3.09,3.41,3.01,2.69
03/31/2006,1.04,1.24,1.11,1.18,1.39,1.11,1.22,1.47,1.67,1.38,1.2,0.91,0.91,1.47,1.57,1.47,1.29
04/30/2006,1.96,2.02,1.96,2.14,1.9,1.89,1.98,2,2.72,1.73,1.78,1.8,1.8,2.23,2.66,2.25,1.76
05/31/2006,1.37,2.3,1.47,1.38,0.99,1.09,0.98,1.01,1.5,0.92,0.94,0.84,0.84,1.33,1.35,1.25,1.42
06/30/2006,1.07,1.93,1.7,1.29,1.56,1.23,1.26,1.19,1.59,1.3,1.11,1.46,1.46,2.05,2.01,1.83,1.55
07/31/2006,0.12,0.02,0.07,0.04,0.1,0.12,0.16,0.08,0.05,0.08,0.06,0.05,0.05,0.03,0.03,0.1,0.06
08/31/2006,0.15,0.16,0.07,0.15,0.04,0.11,0.05,0.06,0.05,0.18,0.21,0.03,0.03,0.03,0.03,0.07,0.24
09/30/2006,1.45,1.78,1.31,1.38,1.56,1.06,1.06,0.94,1.97,1.2,0.97,0.88,0.88,1.54,1.64,1.67,1.4
10/31/2006,1.87,1.95,1.31,0.93,0.65,1.45,1.51,1.48,1.56,1.22,1.31,0.52,0.52,1.18,1.15,1.36,1.46
11/30/2006,10.38,11.79,12.18,12.26,11.78,10.83,10.61,10.63,14.68,11.02,10.94,9.4,9.4,12.98,13.19,13.4,11.64
12/31/2006,6.73,7.04,7.42,7.29,8.56,6.91,7.26,6.94,7.83,7.26,7.02,6.73,6.73,7.3,8.52,7.37,8.16
01/31/2007,2.63,2.91,2.94,2.53,3.93,3.03,3.59,2.8,4.28,3.46,3.23,2.81,2.8,4.01,5.06,4.48,3.3
02/28/2007,1.6,1.75,1.92,1.77,1.26,1.4,1.63,1.87,3.16,1.48,1.57,1.54,1.54,2.22,2.12,2.75,1.91
03/31/2007,2.87,2.65,2.86,2.79,2,2.62,2.8,2.64,4.66,2.17,2.99,2.34,2.09,3.48,3.49,4.28,3.11
04/30/2007,0.16,0.02,0.59,1.38,0,0.95,0,0,0.55,0,0.77,0.79,0.05,0,0,0.96,1.62
05/31/2007,0,0,0,0.14,0.01,0.1,0.01,0,0.13,0,0.1,0.07,0,0.01,0.01,0.12,0.09
06/30/2007,0.6,0.51,0,0.15,0.63,0.5,0.37,0.47,1.15,0.39,0.34,0.46,0.53,0.63,0.63,0.64,0.15
07/31/2007,1.5,1.39,0.75,1.61,1.42,1.45,1.23,1.42,1.43,1.22,1.29,1.28,1.34,1.42,1.42,1.42,1.38
08/31/2007,1.05,1.06,0.88,1.11,1.16,1.04,0.75,0.88,1.14,0.66,0.78,0.97,0.94,1.16,1.16,1.23,0.88
09/30/2007,2.14,1.88,2.08,2.34,2.31,1.99,1.88,2.13,2.66,1.96,1.97,2.17,2.27,2.48,2.48,2.45,2.19
10/31/2007,3.28,2.65,2.69,2.95,2.1,3,2.5,2.79,3.55,2.25,3.04,2.71,2.6,2.7,2.7,2.69,2.45
11/30/2007,2.96,2.72,2.76,2.98,2.94,2.87,3.16,2.95,3.57,2.81,3.37,3.45,2.95,3.54,3.54,3.46,2.98
12/31/2007,10.53,9.32,9.83,10.03,9.59,9.96,9.31,9.99,9.37,9.46,10.49,10.91,9.32,10.68,10.68,9.5,9.47
01/31/2008,4.37,3.95,4.42,4.23,3.45,4.14,4.2,4.61,3.53,3.88,4.16,3.82,3.09,3.09,3.98,3.53,4.01
02/29/2008,1.46,1.4,1.39,1.51,0.94,1.24,1.2,1.37,1.39,0.93,1.01,1.04,1.11,1.17,1.37,1.39,1.43
03/31/2008,3.53,3.57,4.04,3.62,3.08,3.77,3.77,3.88,4.09,3.64,3.66,3.66,3.67,4.27,4.37,4.09,4.03
04/30/2008,2.85,2.16,2.25,2.76,1.65,2.53,2.15,2.25,1.71,1.87,1.81,1.82,1.74,1.59,2.23,1.71,1.97
05/31/2008,0.85,0.8,0.68,0.76,0.63,0.71,0.53,0.64,1.33,0.6,0.5,0.7,0.78,1.13,1.58,1.33,0.74
06/30/2008,2.12,1.81,1.68,2.21,1.57,2.1,1.78,1.95,1.64,1.85,2.09,1.43,1.29,1.87,2.01,1.64,2.07
07/31/2008,0.28,0.37,0.37,0.37,0.2,0.4,0.46,0.25,0.51,0.19,0.39,0.32,0.19,0.32,0.43,0.51,0.32
08/31/2008,3.16,3.04,3.14,3.4,2.65,3.17,2.86,3.15,3.49,2.73,3.18,2.97,2.74,3.01,3.43,3.49,3.5
09/30/2008,0.88,0.78,0.73,0.76,0.51,0.81,0.61,0.75,0.74,0.57,0.64,0.5,0.5,0.6,0.59,0.74,0.74
10/31/2008,2.15,2.43,2.27,2.3,2.08,1.99,1.82,2.18,2.18,1.87,2.01,2.27,2.01,1.98,2.33,2.18,2.43
11/30/2008,4.81,4.65,4.65,5.02,5.18,4.81,5.08,5.74,6.08,4.73,5.3,5.45,4.98,5.94,6.17,6.08,5.15
12/31/2008,4.76,4.11,4,4.77,3.96,3.85,3.68,4.03,3.94,3.14,3.63,3.46,3.04,4.06,4.31,3.94,3.89
01/31/2009,3.43,3.33,3.72,3.76,4.53,3.3,3.73,3.77,3.92,3.53,3.83,4.37,3.24,4.27,5.15,4.44,3.66
02/28/2009,2.04,2.07,1.82,2.11,1.4,1.8,1.86,2.1,1.75,1.61,1.78,1.59,1.42,1.88,1.63,1.86,1.69
03/31/2009,4.26,3.8,3.75,4.45,3.14,4.19,3.51,4.04,4.25,3.11,3.44,3.32,2.7,3.83,3.56,3.53,3.23
04/30/2009,2.75,2.86,2.97,3.08,2.96,2.73,2.79,3.34,3.67,2.43,2.67,2.97,2.41,2.86,2.99,3.18,2.87
05/31/2009,3.9,3.76,4.29,3.7,3.82,4.12,4.18,4.27,4.6,4.05,4.81,4.41,3.86,4.36,4.32,4.4,4.03
06/30/2009,0.31,0.2,0.11,0.24,0.24,0.27,0.17,0.16,0.56,0.1,0.14,0.16,0.21,0.22,0.36,0.23,0.21
07/31/2009,0.22,0.2,0.1,0.15,0.11,0.12,0.09,0.11,0.06,0.09,0.2,0.08,0.1,0.05,0.1,0.06,0.08
08/31/2009,0.75,0.77,0.76,0.83,0.96,0.77,0.82,0.89,1.08,0.78,0.95,1.09,0.88,0.99,1.07,1.08,0.86
09/30/2009,2.5,2.46,2.05,2.44,1.87,2.4,2.31,2.3,2.49,2.47,2.2,2.12,2.05,2.29,2.25,2.42,2.54
10/31/2009,5.71,5.3,4.98,6.06,4.92,5.25,5.29,5.88,6.06,5.01,5.4,4.99,5.13,5.88,5.81,6.21,5.06
11/30/2009,10.92,8.41,8.72,9.56,9.13,10.84,9.51,9.94,10.07,7.93,9.17,9.86,9.34,10.1,9.74,10.92,8.75
12/31/2009,3.11,2.19,2.23,2.59,2.77,2.95,2.62,2.6,2.8,2.27,2.5,2.77,2.34,2.83,2.99,3.07,2.34
01/31/2010,7.82,6.41,6.69,7.21,7.12,7.37,7.19,7.62,6.81,6.58,7.4,8.13,6.7,6.82,6.97,7.53,6.61
02/28/2010,4.05,2.83,3.2,3.17,3.64,3.9,3.74,3.9,3.6,3.54,3.91,4.36,3.62,3.66,3.52,3.7,3.56
03/31/2010,3.65,3.1,2.92,3.07,3.03,3.34,3.3,3.34,4.43,2.78,3.39,3.25,3.02,3.57,3.26,4.49,2.99
04/30/2010,3.35,2.75,2.96,3.02,3.65,3.25,3.07,3.53,4.05,3.16,2.84,3.39,3.31,3.78,3.75,3.86,2.96
05/31/2010,3.19,3.53,3.03,3.66,2.97,3.32,3.47,3.6,3.46,3.05,3.93,4.24,2.74,3.1,3.16,3.62,2.73
06/30/2010,2.34,2.26,2.56,2.42,2.09,2.5,2.19,2.71,2.66,1.87,1.96,1.88,1.9,2.18,2.24,2.43,2.02
07/31/2010,0.17,0.12,0.18,0.14,0.18,0.12,0.18,0.22,0.34,0.22,0.21,0.43,0.25,0.21,0.34,0.46,0.34
08/31/2010,0.82,0.73,0.82,0.73,0.64,0.76,0.77,0.96,0.59,0.67,0.69,0.59,0.55,0.6,0.64,0.65,0.72
09/30/2010,3.49,3.66,3.71,4.02,4.18,3.44,3.43,4.12,3.94,3.98,4.22,4.39,3.78,4.1,4.1,4.04,3.89
10/31/2010,3.57,3.7,3.92,3.76,4.71,3.52,3.88,4.29,5.71,3.95,4.22,4.72,4.74,4.94,4.73,4.86,4.35
11/30/2010,4.64,4.45,4.46,4.97,4.63,4.69,4.65,5,5.17,4.46,4.79,5.15,4.55,5.21,4.88,5.06,4.45
12/31/2010,8.36,7.55,8.39,8.02,8.78,8.93,8.75,9.46,9.71,8.36,8.87,9.71,8.89,10.25,9.18,9.27,8.16
01/31/2011,4.72,5.08,5,4.9,4.5,4.3,4.84,5.46,6.13,4.77,4.81,5.38,4.73,5.38,4.65,5.82,4.97
02/28/2011,3.83,3.11,3.44,3.33,2.95,3.88,3.59,3.89,3.59,3.18,3.4,3.41,2.94,3.45,2.99,3.58,3.32
03/31/2011,7.66,5.78,6.19,6.63,6.26,8.08,7.3,7.58,7.31,5.97,7.23,6.9,5.84,6.78,6.33,6.72,6.06
04/30/2011,3.74,3.1,3.22,3.24,3.41,3.32,3.14,3.42,4.63,3.06,2.95,3.95,3.79,4.27,4,4.09,3.77
05/31/2011,3.02,2.78,2.87,3.01,3.16,3.2,3.08,3.3,3.14,3.31,3.14,3.35,3.23,3.1,3.06,2.93,2.95
06/30/2011,1.4,1.48,1.5,1.24,0.79,1.23,1.19,1.33,1.55,1.28,1.15,1.63,1.28,1.32,1.31,1.38,1.65
07/31/2011,0.75,0.55,0.54,0.65,0.82,1.06,0.86,0.74,0.8,0.85,0.9,0.8,0.72,0.86,0.86,0.82,0.74
08/31/2011,0.07,0.09,0.06,0.09,0.06,0.05,0.06,0.11,0.09,0.02,0.05,0.03,0.04,0.07,0.07,0.08,0.06
09/30/2011,1,0.85,0.94,1.02,1.34,1.04,1.03,1.13,1.21,0.99,1.11,1.3,1.2,1.17,1.43,1.15,1.15
10/31/2011,3.13,2.94,3.05,3.27,2.54,3.23,2.93,3.61,3.29,2.6,2.78,2.66,2.23,2.49,2.94,3.24,2.96
11/30/2011,6.13,5.66,6.12,6.68,5.14,6.37,5.61,6.88,6.24,5.27,5.87,6.18,5.33,5.86,5.82,5.83,5.45
12/31/2011,1.67,1.52,1.54,1.69,2.07,1.68,1.55,1.83,2.1,1.62,1.75,2.05,1.72,1.92,2.19,1.98,1.69
01/31/2012,4.97,4.69,5.3,5.26,5.72,4.92,4.9,5.6,6.66,4.59,4.89,5.79,4.9,5.89,6.05,5.95,5.21
02/29/2012,3.62,2.78,2.85,3,2.87,2.97,2.65,3.23,3.69,2.4,2.62,2.67,2.72,3.53,3.51,3.34,2.55
03/31/2012,6.65,5.28,6.5,5.93,6.08,6.35,5.43,6.72,8.22,6.19,6.09,6.75,6.37,7.75,7.36,7.49,6.36
04/30/2012,2.33,2.16,2.24,2.2,2.42,2.19,1.77,2.42,2.8,2.09,2.02,2.37,2.35,2.32,2.67,2.52,2.39
05/31/2012,1.87,2.68,2.34,2.1,2.11,1.84,1.79,2.17,2.65,2.51,2.13,2.86,2.34,2.56,2.37,2.55,2.33
06/30/2012,3.5,3.22,3.29,3.42,2.21,3.15,2.82,3.66,3.11,2.58,3.05,2.85,2.83,2.82,2.95,3.16,3.28
07/31/2012,1.73,1.56,1.27,1.76,1.08,2.65,1.76,1.71,1.37,1.22,1.97,1.1,1.04,1.05,1.98,1.34,1.42
08/31/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/30/2012,0.38,0.25,0.2,0.27,0.03,0.38,0.28,0.26,0.08,0.06,0.16,0.07,0.05,0.03,0.05,0.06,0.11
10/31/2012,5.82,5.3,5.85,5.85,6.32,6.18,5.78,6.89,6.54,5.5,5.99,6.37,5.94,6.34,6.73,6.53,5.53
11/30/2012,8.79,7.76,8.58,7.96,7.71,9.18,8.67,9.32,8.14,8.02,8.89,8.88,7.74,7.98,7.95,8.19,7.93
12/31/2012,9.88,7.51,8.94,8.53,7.9,9.99,9.04,10.01,9.3,8.36,9.04,9.22,8.35,9.48,9.05,9.07,8.37
01/31/2013,4.8,4.74,4.21,4.54,2.83,4.33,3.77,4.5,3.93,3.32,3.64,4.03,3.32,3.6,3.33,3.92,4.03
02/28/2013,1.89,1.56,1.67,1.67,1.49,1.82,1.49,1.77,1.78,1.33,1.45,1.68,1.6,1.73,1.55,1.78,1.47
03/31/2013,2.82,2.7,2.77,2.79,2.46,2.8,2.53,2.76,2.75,2.52,2.6,3,2.79,2.96,2.89,2.69,2.53
04/30/2013,5.28,4.3,4.85,4.86,3.72,4.98,4.68,5.08,5.14,4.18,4.95,4.2,3.96,4.33,4.31,4.67,4.38
05/31/2013,1.41,1.15,1.3,1.54,1.68,1.57,1.93,1.85,1.95,1.47,1.93,1.84,1.5,1.57,1.72,1.79,1.54
06/30/2013,1.8,1.91,1.56,2.23,1.2,2.1,1.55,1.92,1.74,1.44,1.55,1.67,1.45,1.2,1.34,1.46,1.71
07/31/2013,0.05,0.03,0.09,0.11,0,0,0,0.03,0.09,0,0,0,0,0.02,0.01,0.14,0.15
08/31/2013,0.96,0.94,1.02,0.99,0.92,1.08,1.15,1,1.24,1.2,1.15,0.82,0.98,1.05,1.26,1.15,1.08
09/30/2013,5.06,5.08,4.8,4.91,5.33,4.88,5.63,5.14,5.91,4.73,5.63,5.37,5.67,5.25,4.97,5.61,5.5
10/31/2013,0.98,1.19,0.9,0.98,1.52,0.98,1.14,1.14,1.76,0.76,1.31,1.52,1.1,1.44,1.81,1.72,1
11/30/2013,2.8,3.03,2.58,3.04,2.83,2.79,2.55,2.79,3.54,2.31,2.75,2.85,2.85,2.99,3.1,3.25,2.9
12/31/2013,1.37,1.51,1.25,1.52,1.01,1.11,0.95,1.24,1.57,0.95,1.01,1.35,1.11,1.21,1.4,1.37,1.47
01/31/2014,4.24,4.07,4.05,4.07,3.4,4.39,3.89,4.54,3.93,3.99,4.6,4.5,3.4,3.68,3.72,4.06,4.34
02/28/2014,5.59,5.45,5.42,5.12,5.55,5.62,4.88,5.55,6.27,5.33,5.85,6.03,5.55,6.28,5.84,6.21,5.87
03/31/2014,9.06,8.76,8.54,8.69,7.93,8.8,8.3,9.73,9.24,8.04,8.87,8.81,7.93,8.17,8.26,8.84,8.51
04/30/2014,3.23,3.07,3.07,3.37,2.65,3.22,2.6,3.37,4.47,2.7,2.78,2.84,2.84,3.43,2.84,3.53,3.11
05/31/2014,2.26,2.28,2.2,2.45,2.4,2.25,2.24,2.6,3.14,2.38,2.71,2.76,2.76,2.88,2.94,2.9,2.62
06/30/2014,1.22,1.34,0.9,1.16,0.54,1.11,0.98,1.12,0.79,0.75,0.95,0.56,0.56,0.56,0.65,0.69,1.08
07/31/2014,1.28,1.54,0.98,1.33,0.57,1.02,0.81,0.99,1.09,0.75,0.96,0.69,0.69,0.72,0.76,0.99,0.67
08/31/2014,1.62,1.67,1.29,1.64,1.21,1.46,1.13,1.29,1.48,1.23,1.25,1.15,1.15,1.17,1.35,1.53,1.35
09/30/2014,2.73,3.76,2.69,2.64,1.96,2.67,2.35,2.69,2.61,3.35,2.52,2.83,2.83,2.27,2.39,2.68,3.41
10/31/2014,6.76,8.39,6.02,6.89,6.58,6.54,5.93,6.46,7.21,6.41,7.07,6.87,6.58,5.83,5.85,7.25,6.71
11/30/2014,5.08,6.14,4.7,4.56,4.46,4.86,4.38,4.95,4.44,4.63,4.8,5.25,4.41,3.72,3.43,4.41,5.13
12/31/2014,6.09,5.37,5.29,5.5,5.42,6.26,5.39,6.08,5.24,5.41,5.93,5.86,5.43,4.6,4.38,5.29,5.92
01/31/2015,2.54,2.65,2.72,2.38,2.47,2.61,2.27,2.66,3.2,2.73,2.7,3.04,2.35,2.36,1.92,2.67,3.01
02/28/2015,4.6,4.21,4.1,4.18,4.37,4.52,3.91,4.46,5.1,4.18,4.32,4.61,4.5,4.68,4.68,5.1,5.1
03/31/2015,4.25,4.12,4.3,4.23,4.56,4.99,3.8,4.33,4.55,4.39,4.42,4.83,4.57,4.38,4.39,4.52,4.79
04/30/2015,1.59,1.64,1.89,1.66,1.65,1.71,1.26,1.62,2.11,1.64,1.58,1.62,1.84,1.91,1.7,2.3,2.42
05/31/2015,0.5,0.87,0.65,0.73,0.51,0.54,0.77,0.79,0.57,0.52,0.66,0.48,0.49,0.31,0.4,0.49,0.57
06/30/2015,0.28,0.2,0.12,0.13,0.15,0.33,0.15,0.21,0.17,0.1,0.13,0.14,0.09,0.12,0.12,0.23,0.17
07/31/2015,0.35,0.94,0.25,0.31,0.13,0.24,0.18,0.27,0.14,0.15,0.17,0.19,0.18,0.16,0.07,0.29,0.22
08/31/2015,3.02,2.63,3.42,2.61,3.7,2.58,2.57,2.96,2.97,2.83,2.96,3.03,2.67,2.67,2.58,2.97,2.76
09/30/2015,1.35,1.04,2.2,1.42,0.79,1.13,1.77,2.03,1.3,1.83,1.73,1.63,1.67,1.01,0.87,1.3,1.78
10/31/2015,3.51,3.53,3.38,3.45,3.38,3.34,2.93,3.63,3.7,3.25,3.3,3.76,3.29,3.7,3.48,4.02,3.88
11/30/2015,6.92,6.66,6.48,6.76,6.76,6.54,6.44,7.37,7.74,6.36,7.08,7.35,6.63,7.74,6.65,8.04,6.95
12/31/2015,10.49,8.94,10.14,10.05,10.11,10.58,9.93,11.21,10.88,9.94,11.4,11.83,10.09,10.88,9.81,10.45,10.66
01/31/2016,8.22,6.89,7.25,7.47,7.39,8.43,7.6,8.37,7.07,7.24,8.25,7.91,7.24,7.07,6.68,7.11,7.85
02/29/2016,4.02,3.78,4.12,3.67,4.02,4.07,3.63,4.32,5.31,4.28,4.37,4.72,4.57,5.31,4.42,5.47,4.65
03/31/2016,6.05,4.91,5.51,5.58,5.23,5.96,5.52,4.8,5.85,5.55,6.11,6.1,5.32,5.85,5.27,5.55,5.92
04/30/2016,1.6,1.45,1.33,1.56,1.29,1.39,1.32,1.36,1.38,1.65,1.39,1.69,1.46,1.38,1.34,1.43,1.86
05/31/2016,1.4,1.79,1.43,1.86,0.7,1.05,0.72,1.3,0.88,1.36,1.01,0.75,0.88,0.88,1.02,1.23,1.86
06/30/2016,1.63,1.53,1.75,1.64,1.26,1.57,1.4,1.34,1.73,1.09,1.17,1.22,1.41,1.73,1.37,1.91,1.76
07/31/2016,0.61,0.52,0.58,0.57,0.66,0.72,0.62,0.62,0.46,0.53,0.75,0.64,0.54,0.19,0.59,0.48,0.63
08/31/2016,0.34,0.03,0.03,0.22,0.04,0.14,0.09,0.17,0.02,0.12,0.13,0.06,0.01,0,0.04,0.08,0.03
09/30/2016,1.85,1.5,1.37,1.47,0.69,1.59,1.34,1.27,0.87,0.98,1.29,0.97,0.95,0,0.68,1.07,1.07
10/31/2016,10.53,10.4,9.86,9.92,9.74,10.45,9.19,9.14,10.37,9.76,10.32,11.03,10.34,10.36,8.1,10.51,11.13
11/30/2016,9.03,8.17,8.07,7.49,6.7,8.37,7.52,7.38,7.49,7.85,8.14,8.06,7.49,7.49,7.43,7.95,7.6
12/31/2016,4.54,3.75,3.69,4.19,3.32,4.21,3.92,4.16,3.74,3.4,3.78,3.89,3.7,3.74,3.67,3.93,3.7
01/31/2017,4.24,4.08,4.03,3.95,4.03,4.51,4,4.19,3.95,4.01,4.2,4.28,4.06,3.95,3.98,4.02,4.02
02/28/2017,8.36,8.52,8.18,8.11,8.49,8.08,7.9,8.45,9.63,8.91,8.64,9.1,8.71,8.84,8.2,8.76,9.43
03/31/2017,7.19,6.77,6.59,6.71,6.31,7,6.54,7.2,7.33,6.53,7.15,7.02,6.64,6.92,5.7,7.38,6.68
04/30/2017,4.84,4.07,3.98,4.32,3.03,4.66,3.75,4.58,4.1,4.44,4.34,3.92,3.52,3.94,3.22,4.31,4.23
05/31/2017,0,0,0.01,0.01,0,0,0,0.02,0.14,0.01,0,0.02,0.03,0.02,0.01,0.06,0
