,Drought,SB,Access,Slopes,Fuel,Fire
359,0,0,1,1,0,1
360,1,0,0,0,0,0
361,1,1,1,0,0,0
362,0,0,1,0,1,1
363,1,0,1,0,0,1
364,1,0,0,1,1,1
365,1,0,1,0,0,1
366,1,1,1,0,1,1
367,1,1,1,0,0,1
368,0,1,0,0,0,1
369,1,1,1,0,0,0
370,1,0,1,1,1,0
371,1,0,1,0,1,1
372,1,0,0,0,0,0
373,0,1,1,1,0,0
374,1,1,0,0,0,1
375,1,0,1,1,1,1
376,0,0,1,0,0,0
377,0,0,1,1,0,1
378,0,1,0,1,0,1
379,1,1,1,1,0,1
380,0,0,0,1,1,1
381,1,0,0,0,0,0
382,0,1,1,0,1,1
383,1,0,0,0,1,1
384,0,0,0,1,1,1
385,0,1,1,0,1,0
386,1,1,1,1,0,0
387,0,0,0,1,0,1
388,1,0,0,0,0,1
389,0,0,0,0,0,1
390,0,0,0,0,1,1
391,0,0,0,0,0,1
392,1,0,0,1,0,1
393,0,0,1,1,1,1
394,1,0,1,1,1,1
395,1,0,0,1,0,0
396,1,0,0,0,1,1
397,1,1,1,1,1,1
398,1,1,1,1,1,1
399,0,1,0,0,1,0
400,1,1,0,0,0,1
401,0,1,1,0,1,1
402,1,0,1,1,0,0
403,1,1,0,1,0,1
404,0,1,1,1,1,0
405,0,1,0,0,0,0
406,0,0,1,1,0,1
407,0,1,0,0,0,1
408,1,1,0,0,1,0
409,0,0,0,0,1,0
410,0,1,0,0,0,0
411,0,1,0,0,0,1
412,1,1,0,0,0,1
413,0,0,1,1,1,1
414,0,1,0,0,1,1
415,0,0,1,0,1,0
416,1,1,1,0,0,0
417,1,0,0,0,0,0
418,0,1,1,1,1,0
419,0,1,1,1,1,0
420,0,1,0,0,0,1
421,0,0,1,0,0,1
422,0,1,0,0,0,1
423,0,0,1,1,1,0
424,0,0,0,1,1,0
425,1,1,1,0,1,0
426,1,1,1,1,0,1
427,0,0,1,0,0,0
428,1,1,0,0,1,0
429,0,1,0,1,1,1
430,1,1,0,1,0,0
431,1,0,0,1,1,1
432,0,0,1,0,1,1
433,1,1,0,0,1,1
434,1,1,0,0,0,0
435,0,1,1,1,0,1
436,1,1,0,1,1,0
437,0,0,1,0,0,1
438,0,0,1,0,0,0
439,0,1,0,1,1,1
440,1,1,1,1,1,0
441,1,1,1,0,0,1
442,0,0,0,1,1,0
443,0,1,0,1,1,0
444,0,0,0,0,0,0
445,1,1,0,0,1,0
446,1,1,1,1,0,0
447,0,1,0,0,0,0
448,0,0,0,1,1,0
449,1,1,0,1,0,0
450,0,1,1,0,1,1
451,1,0,1,1,1,0
452,0,0,0,0,0,1
453,1,1,1,0,0,1
454,1,1,1,1,1,0
455,1,0,1,0,1,1
456,0,1,0,0,1,1
457,0,1,1,0,1,1
458,0,1,1,1,1,1
459,1,0,0,1,0,0
460,1,0,1,1,1,1
461,0,0,1,0,1,0
462,0,1,1,0,1,0
463,0,1,0,1,0,0
464,1,1,1,0,1,1
465,1,0,1,1,0,0
466,1,0,0,1,1,0
467,1,0,1,0,1,0
468,1,0,1,0,1,1
469,0,1,0,1,0,0
470,0,1,0,0,0,1
471,0,1,1,1,1,1
472,0,1,0,0,0,1
473,1,1,0,0,0,0
474,1,0,1,0,1,0
475,1,1,1,1,1,0
476,0,1,1,0,1,1
477,0,0,0,0,1,1
478,1,0,0,1,1,1
479,0,1,1,0,1,1
480,1,1,0,0,0,1
481,1,1,0,1,1,0
482,1,0,1,0,1,1
483,0,1,0,0,1,0
484,0,0,1,0,0,0
485,0,1,0,0,1,1
486,1,0,0,0,0,1
487,0,0,1,1,0,1
488,0,0,1,0,1,0
489,1,0,0,0,0,1
490,0,1,0,0,1,0
491,0,1,0,1,1,1
492,1,1,1,1,0,0
493,1,1,0,1,0,0
494,0,1,0,1,0,1
495,0,0,0,1,1,0
496,1,1,1,1,0,1
497,0,0,0,0,0,0
498,0,1,0,0,1,1
499,1,0,0,1,0,0
500,1,0,1,1,0,1
501,1,0,1,1,0,1
502,0,0,1,1,1,0
503,0,1,0,1,0,1
504,0,1,0,1,0,1
505,0,1,0,0,1,1
506,1,1,0,0,0,0
507,1,1,1,1,1,1
508,0,0,0,1,1,1
509,1,1,1,1,0,0
510,1,0,0,0,1,0
511,0,0,1,1,0,1
512,1,0,1,0,0,0
513,0,0,0,1,0,1
514,0,0,1,0,1,0
515,1,1,1,0,0,0
516,0,0,1,1,1,0
517,1,1,0,0,1,0
518,0,1,0,1,1,1
519,0,0,0,1,0,0
520,1,1,1,1,1,1
521,0,0,0,1,0,0
522,0,0,1,1,1,0
523,1,1,1,1,1,1
524,0,0,0,1,0,0
525,0,1,1,1,1,0
526,0,1,0,0,0,0
527,1,1,1,1,1,0
528,0,0,1,0,0,0
529,0,1,1,0,1,1
530,0,1,0,0,0,1
531,0,0,0,0,1,0
532,0,0,1,0,1,0
533,1,0,0,0,0,1
534,0,1,0,0,0,1
535,1,1,0,1,0,1
536,1,1,0,0,0,1
537,1,0,0,0,0,0
538,1,0,1,0,1,1
539,1,0,1,1,0,0
540,0,0,0,1,1,0
541,1,0,1,1,0,0
542,1,0,0,0,1,1
543,0,0,1,0,0,1
544,0,0,1,1,0,1
545,1,1,1,1,0,1
546,1,0,1,0,0,1
547,1,0,0,1,1,0
548,0,1,1,1,0,1
549,1,1,0,1,0,1
550,1,0,0,1,1,0
551,0,0,0,0,0,1
552,1,0,1,0,0,1
553,0,1,1,0,0,1
554,0,0,1,0,1,0
555,1,1,1,1,0,0
556,0,0,0,0,1,0
557,1,1,0,1,1,1
558,1,0,1,0,0,0
559,1,1,1,0,0,0
560,0,1,1,1,1,1
561,1,1,0,1,1,0
562,1,1,0,1,1,1
563,0,0,0,1,0,1
564,1,1,1,1,1,1
565,0,0,0,1,0,0
566,1,1,1,0,1,0
567,0,1,0,1,0,0
568,0,1,0,0,1,0
569,0,1,1,1,1,1
570,1,0,0,0,0,0
571,1,0,1,1,0,0
572,0,0,1,0,1,1
573,0,1,1,0,1,1
574,1,0,0,1,0,1
575,1,0,1,1,0,0
576,1,0,0,0,1,1
577,0,1,0,1,0,1
578,0,1,0,0,1,0
579,1,0,0,0,0,1
580,0,1,1,1,1,0
581,0,1,0,1,1,0
582,0,1,0,0,1,0
583,1,0,0,1,1,1
584,0,0,1,0,1,0
585,1,0,0,0,1,0
586,0,1,1,0,0,1
587,0,1,1,0,0,0
588,0,1,0,0,1,0
589,0,0,0,1,0,0
590,0,1,0,0,1,0
591,0,1,1,1,1,1
592,0,0,0,1,1,0
593,0,1,1,1,1,1
594,0,1,1,0,0,1
595,1,0,0,0,0,1
596,1,0,1,0,1,0
597,0,0,1,0,1,0
598,1,1,1,0,0,1
599,1,1,1,1,0,0
600,0,0,1,1,1,1
601,1,1,0,0,0,0
602,0,0,0,0,0,0
603,0,1,0,1,1,0
604,1,0,1,1,0,0
605,1,1,1,1,1,0
606,0,0,0,1,1,0
607,0,0,1,1,1,1
608,0,0,0,1,0,0
609,0,0,1,1,0,0
610,0,1,0,1,1,0
611,0,1,0,0,1,0
612,1,0,1,1,0,0
613,0,1,0,0,1,0
614,1,1,0,0,0,0
615,0,1,0,0,1,1
616,1,0,1,1,0,0
617,0,0,1,0,1,0
618,1,0,1,0,1,1
619,1,1,0,1,0,1
620,1,0,0,1,1,1
621,0,0,0,0,0,0
622,0,0,1,1,1,0
623,0,1,1,1,1,1
624,0,1,0,0,0,0
625,0,1,1,0,0,1
626,1,1,0,0,1,0
627,0,1,1,0,0,0
628,1,0,0,0,0,1
629,1,1,0,1,1,1
630,1,1,0,1,0,1
631,1,1,1,0,0,1
632,0,0,1,1,1,1
633,1,0,1,1,0,0
634,1,1,1,1,1,0
635,0,1,0,0,0,1
636,0,1,0,0,1,1
637,0,1,1,0,0,1
638,0,0,1,0,0,0
639,1,0,0,0,1,0
640,1,0,0,1,1,0
641,1,1,0,1,1,0
642,0,1,0,1,1,0
643,0,1,1,0,1,1
644,0,1,0,1,0,1
645,1,0,1,0,1,1
646,0,0,1,0,1,0
647,0,0,1,1,0,1
648,0,1,1,0,1,1
649,1,0,1,0,0,0
650,1,0,1,1,0,1
651,1,1,1,1,1,1
652,1,1,0,1,1,1
653,1,0,1,0,0,0
654,1,0,1,1,1,1
655,1,0,0,1,0,1
656,1,1,0,1,1,1
657,1,0,1,1,1,1
658,0,1,0,0,1,1
659,0,1,1,0,1,0
660,0,1,0,0,0,1
661,0,0,0,1,1,0
662,0,1,0,1,1,0
663,1,1,0,0,0,0
664,1,1,1,0,0,1
665,0,0,1,1,0,1
666,1,0,1,1,1,0
667,1,1,0,0,0,0
668,0,1,1,0,0,0
669,1,0,1,0,1,1
670,1,0,1,0,1,1
671,0,0,0,0,0,1
672,1,1,0,0,0,0
673,0,0,0,1,0,0
674,1,0,0,1,1,1
675,0,1,1,1,0,0
676,0,1,0,0,1,1
677,0,0,0,1,1,1
678,0,1,0,0,1,0
679,1,0,1,0,1,0
680,1,1,0,1,1,1
681,0,0,0,0,0,1
682,0,0,1,0,1,1
683,1,1,1,1,1,0
684,0,1,0,0,1,0
685,0,1,0,1,0,1
686,1,0,1,0,1,1
687,0,0,0,1,1,1
688,0,1,0,0,0,1
689,0,0,0,0,1,0
690,0,1,1,1,0,0
691,1,0,1,0,0,1
692,1,0,1,0,0,0
693,0,1,1,1,0,1
694,0,1,0,1,0,1
695,0,0,0,0,1,0
696,1,1,1,1,1,1
697,1,1,0,1,1,0
698,1,0,0,0,0,1
699,0,0,0,0,1,0
700,0,0,0,0,0,0
701,0,1,0,1,0,0
702,0,1,0,0,0,0
703,1,1,0,1,1,1
704,0,1,1,0,1,0
705,1,1,1,0,1,0
706,0,1,1,0,1,1
707,1,1,0,1,0,0
708,1,0,1,1,1,0
709,1,1,1,0,1,0
710,0,1,0,0,0,0
711,0,0,0,1,0,0
712,0,1,1,1,0,1
713,0,0,0,1,0,1
714,0,0,0,0,1,0
715,0,0,0,0,1,0
716,1,1,1,1,0,1
717,0,1,1,0,1,1
718,0,0,0,0,0,0
719,1,1,1,0,1,1
720,1,1,0,1,1,1
721,0,0,0,1,0,1
722,0,1,0,0,1,1
723,0,1,1,1,1,1
724,1,1,1,1,0,0
725,1,0,0,0,0,1
726,0,0,0,0,1,0
727,0,0,1,1,0,0
728,0,0,1,0,1,1
729,1,1,0,0,1,1
730,1,0,1,1,1,0
731,0,0,0,1,0,1
732,1,0,1,1,0,1
733,0,0,1,0,1,1
734,1,1,0,0,0,1
735,0,0,1,0,0,1
736,1,0,0,0,1,1
737,1,0,0,1,0,1
738,1,1,0,0,1,1
739,1,0,0,1,1,0
740,1,0,0,1,0,0
741,1,0,0,1,0,1
742,0,1,1,0,0,1
743,0,1,1,1,1,1
744,0,0,0,0,1,1
745,1,0,1,1,1,1
746,0,1,0,1,1,1
747,0,0,0,1,0,0
748,0,1,0,1,1,1
749,1,1,1,0,0,1
750,1,1,0,1,0,0
751,0,0,1,1,0,1
752,1,0,0,0,1,0
753,0,0,1,0,1,0
754,0,1,0,1,1,0
755,0,1,1,1,1,1
756,0,1,1,1,0,0
757,1,1,0,0,0,1
758,1,1,0,0,1,0
759,1,0,1,1,0,0
760,1,1,1,1,1,1
761,1,0,1,0,1,0
762,1,1,0,0,0,1
763,0,1,1,1,1,0
764,0,0,0,0,0,0
765,1,0,0,0,1,0
766,0,0,1,1,1,1
767,1,0,1,0,0,0
768,0,0,0,1,0,0
769,1,1,0,0,1,0
770,1,0,1,1,0,0
771,0,0,1,1,1,0
772,1,0,1,1,0,0
773,1,0,0,0,1,1
774,1,1,1,1,1,1
775,0,0,0,0,0,0
776,0,1,0,0,1,1
777,1,1,0,1,0,1
778,1,1,1,0,0,1
779,0,1,0,0,0,0
780,0,1,1,0,1,0
781,1,1,1,1,0,0
782,1,1,0,0,1,1
783,1,0,0,1,1,0
784,0,0,0,1,0,1
785,0,0,0,1,0,0
786,0,0,0,0,0,0
787,1,0,0,0,0,0
788,1,0,1,0,0,0
789,1,0,0,0,0,0
790,1,0,0,1,0,0
791,1,0,0,0,1,1
792,1,0,0,1,1,1
793,0,0,1,0,0,0
794,0,1,1,1,0,0
795,0,0,0,1,1,1
796,1,0,0,0,1,0
797,0,0,0,1,1,1
798,0,1,1,0,0,1
799,0,0,0,0,0,1
800,0,1,0,0,0,0
801,1,0,0,0,1,1
802,1,1,0,0,0,1
803,0,0,0,1,0,0
804,0,0,1,1,0,1
805,0,0,1,1,1,0
806,1,0,1,0,1,0
807,1,1,1,1,0,1
808,1,0,0,1,0,0
809,1,0,1,1,0,1
810,0,0,0,1,0,0
811,0,1,0,1,1,0
812,1,1,1,1,0,0
813,1,0,0,0,1,0
814,1,0,1,0,1,0
815,1,0,0,1,1,0
816,0,0,0,1,1,1
817,1,0,1,1,0,1
818,1,1,0,1,1,0
819,0,0,1,1,1,0
820,1,0,1,1,1,1
821,1,1,1,0,1,0
822,0,1,0,1,1,1
823,0,1,0,1,0,1
824,1,1,0,0,0,0
825,0,0,0,0,0,1
826,0,1,1,0,1,1
827,0,0,0,1,0,1
828,1,0,0,1,0,0
829,1,1,1,0,0,1
830,1,0,1,1,0,0
831,0,1,0,1,1,0
832,1,1,0,1,0,1
833,1,1,0,0,1,1
834,1,0,1,0,1,0
835,0,1,1,0,1,1
836,1,1,1,0,0,0
837,0,1,0,1,1,0
838,1,1,0,1,0,0
839,1,0,1,0,1,1
840,0,0,0,0,1,1
841,1,0,1,0,0,1
842,1,0,1,1,1,0
843,1,1,0,1,1,0
844,1,1,1,0,1,0
845,0,1,0,1,1,0
846,0,1,1,0,0,1
847,1,1,1,1,0,1
848,1,0,0,0,1,1
849,0,1,1,1,0,0
850,0,1,0,0,1,1
851,0,0,0,1,1,1
852,1,1,1,1,1,0
853,0,1,0,1,0,1
854,1,1,1,1,0,0
855,1,0,0,0,0,1
856,0,0,0,1,0,0
857,0,0,0,0,0,1
858,0,0,0,0,0,0
859,1,0,1,0,1,1
860,1,1,0,1,1,0
861,1,0,0,1,0,0
862,1,0,0,1,0,1
863,1,0,1,1,0,1
864,1,1,1,1,1,1
865,1,0,0,0,0,1
866,0,0,0,0,1,0
867,1,0,1,0,1,0
868,0,1,0,1,0,1
869,1,0,0,1,1,0
870,1,1,1,0,0,0
871,1,0,0,0,0,0
872,1,1,1,0,1,1
873,0,1,1,1,1,1
874,0,1,0,0,0,0
875,1,0,1,0,1,1
876,1,0,1,1,1,1
877,1,0,1,0,0,0
878,0,0,0,1,0,0
879,1,1,1,1,0,1
880,1,1,0,1,1,0
881,1,1,1,0,0,1
882,1,1,1,0,0,0
883,0,1,0,1,0,1
884,0,0,0,1,0,1
885,0,0,1,0,1,1
886,1,0,0,0,1,0
887,1,0,0,1,1,0
888,0,0,1,0,1,1
889,0,1,1,0,0,0
890,1,0,0,0,0,0
891,0,0,1,1,1,1
892,0,0,1,0,1,1
893,1,0,1,1,0,0
894,1,1,0,0,0,0
895,0,0,1,0,0,0
896,0,1,0,1,0,0
897,0,0,1,0,0,0
898,0,1,0,1,1,1
899,1,0,0,0,1,0
900,0,1,1,1,0,1
901,1,0,0,0,1,1
902,0,0,0,0,0,1
903,1,0,0,1,0,1
904,0,1,1,1,1,0
905,1,0,0,0,0,1
906,0,0,1,1,1,1
907,0,0,1,0,0,1
908,0,0,1,0,1,0
909,1,1,1,0,1,0
910,1,1,1,0,1,0
911,0,0,1,0,1,0
912,0,1,0,0,0,1
913,1,1,0,0,1,1
914,0,0,1,0,1,1
915,1,1,1,0,0,0
916,0,1,1,1,0,0
917,1,1,0,1,0,0
918,0,0,1,1,0,0
919,0,0,1,0,1,0
920,0,0,0,0,1,0
921,1,1,1,1,1,1
922,0,0,0,0,1,0
923,0,1,1,0,1,0
924,0,0,0,1,0,1
925,1,0,1,1,0,1
926,0,1,0,1,1,0
927,1,0,0,1,0,1
928,1,1,1,1,0,0
929,1,1,0,1,0,0
930,0,0,0,0,0,1
931,1,0,1,0,1,0
932,0,0,0,1,1,0
933,0,0,1,0,1,0
934,0,1,0,0,0,0
935,0,0,1,1,1,0
936,1,0,1,0,1,1
937,0,0,1,1,1,0
938,0,0,0,0,1,0
939,0,1,0,1,0,0
940,0,1,0,0,1,0
941,0,0,0,0,0,0
942,0,0,1,1,0,1
943,0,1,1,1,0,0
944,0,0,1,0,0,0
945,1,1,1,0,1,0
946,0,0,1,0,1,1
947,1,0,1,0,1,1
948,0,0,0,0,0,1
949,0,0,0,0,1,1
950,0,0,1,0,0,1
951,0,0,1,1,0,0
952,1,1,0,1,0,0
953,1,1,0,1,1,1
954,0,0,0,0,1,0
955,1,0,0,0,0,1
956,1,1,0,1,1,0
957,0,0,1,1,1,1
958,1,0,1,1,1,1
959,1,0,0,1,0,0
960,1,1,1,1,1,1
961,0,0,0,1,1,0
962,1,0,1,0,0,1
963,0,1,1,0,0,0
964,0,1,0,1,0,1
965,1,1,0,1,0,1
966,1,1,1,0,0,1
967,0,0,0,1,0,1
968,0,1,1,0,1,1
969,1,1,0,0,1,0
970,0,0,0,0,0,0
971,1,0,0,0,0,0
972,1,1,0,1,1,1
973,1,0,1,0,0,1
974,0,1,0,0,1,1
975,0,0,1,1,0,0
976,1,0,1,0,1,1
977,1,1,0,1,1,0
978,0,1,1,0,1,0
979,0,0,0,1,0,0
980,0,1,1,0,0,1
981,0,1,1,0,1,0
982,1,1,1,1,0,1
983,1,1,1,1,1,1
984,1,1,1,1,0,0
985,1,1,0,0,1,0
986,0,0,1,0,0,0
987,1,0,1,0,1,0
988,0,1,1,0,0,1
989,1,1,0,0,0,0
990,1,1,1,1,0,0
991,0,0,0,0,1,1
992,0,0,1,1,1,1
993,1,1,1,0,1,0
994,0,1,0,0,0,0
995,0,1,0,0,1,1
